City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
98,Yuli,NG,2022-07-06 14:50:38,9.6989,10.2744,91.92,42,36,7.36
99,Sioux Lookout,CA,2022-07-06 14:50:38,50.1001,-91.917,68.07,56,40,9.22
100,Miura,JP,2022-07-06 14:50:38,35.14,139.6192,76.98,87,100,20.76
101,Broome,US,2022-07-06 14:50:39,42.2506,-75.833,74.46,73,100,10.36
102,Olinda,BR,2022-07-06 14:47:27,-8.0089,-34.8553,82.13,74,40,10.36
103,Portland,US,2022-07-06 14:49:50,45.5234,-122.6762,64.83,92,100,1.99
104,San Jose,US,2022-07-06 14:47:48,37.3394,-121.895,65.79,73,100,8.05
105,Hami,CN,2022-07-06 14:50:39,42.8,93.45,82.38,24,40,21.7
106,Saint Anthony,US,2022-07-06 14:50:18,45.0205,-93.218,73.78,81,100,5.75
107,Kongoussi,BF,2022-07-06 14:50:39,13.3258,-1.5347,97.41,30,66,5.97
108,Lagoa,PT,2022-07-06 14:50:39,39.05,-27.9833,66.2,79,100,13.47
109,Tuatapere,NZ,2022-07-06 14:50:40,-46.1333,167.6833,39.27,88,58,3.56
110,Haileybury,CA,2022-07-06 14:50:40,47.449,-79.6373,57.78,51,1,7.49
111,Gainesville,US,2022-07-06 14:46:37,29.6516,-82.3248,89.69,66,0,3.44
112,Ancud,CL,2022-07-06 14:48:46,-41.8697,-73.8203,42.22,80,54,21.39
113,Port Hedland,AU,2022-07-06 14:50:40,-20.3167,118.5667,51.85,58,6,6.91
114,Bernay,FR,2022-07-06 14:50:40,49.1667,0.6667,76.96,58,78,11.99
115,Tianpeng,CN,2022-07-06 14:50:41,30.9866,103.9393,91.87,68,4,3.94
116,Neuquen,AR,2022-07-06 14:48:16,-38.9516,-68.0591,49.89,53,0,12.66
117,Carnarvon,AU,2022-07-06 14:50:41,-24.8667,113.6333,67.3,32,0,9.95
118,Knysna,ZA,2022-07-06 14:50:41,-34.0363,23.0471,63.19,68,0,3.94
119,Abay,KZ,2022-07-06 14:50:41,49.6311,72.8539,61.18,70,96,6.22
120,Dannenberg,DE,2022-07-06 14:50:42,53.0967,11.09,65.14,42,95,13.67
121,Linxia,CN,2022-07-06 14:50:42,35.6003,103.2064,68.9,47,0,3.96
122,Balikpapan,ID,2022-07-06 14:50:42,-1.2675,116.8289,79.79,89,20,4.61
123,Auki,SB,2022-07-06 14:50:42,-8.7676,160.7034,78.1,83,100,3.27
124,Panama City,PA,2022-07-06 14:50:43,8.9936,-79.5197,82.44,86,75,5.75
125,Zhigansk,RU,2022-07-06 14:50:43,66.7697,123.3711,55.76,64,75,9.51
126,Rio Grande,BR,2022-07-06 14:50:43,-32.035,-52.0986,57.31,92,100,13.29
127,Yellowknife,CA,2022-07-06 14:50:43,62.456,-114.3525,66.72,48,0,5.75
128,Agirish,RU,2022-07-06 14:50:44,61.9247,63.0231,67.86,66,69,3.44
129,Astoria,US,2022-07-06 14:50:44,46.1879,-123.8313,61.72,94,100,5.75
130,Norman Wells,CA,2022-07-06 14:50:44,65.282,-126.8329,64.44,59,40,4.61
131,Nehe,CN,2022-07-06 14:50:44,48.4833,124.8333,65.88,98,100,3.31
132,Lompoc,US,2022-07-06 14:50:45,34.6391,-120.4579,62.78,91,100,9.22
133,Ostrovnoy,RU,2022-07-06 14:48:12,68.0531,39.5131,66.92,58,68,15.3
134,Georgetown,MY,2022-07-06 14:50:19,5.4112,100.3354,84.15,79,20,5.99
135,Kalmunai,LK,2022-07-06 14:50:45,7.4167,81.8167,84.52,66,100,4.61
136,Namatanai,PG,2022-07-06 14:50:45,-3.6667,152.4333,79.3,78,99,7.05
137,Valdivia,CL,2022-07-06 14:50:45,-39.8142,-73.2459,46.49,91,100,11.79
138,Gigmoto,PH,2022-07-06 14:51:46,13.7796,124.39,80.42,85,94,3.85
139,Cururupu,BR,2022-07-06 14:50:26,-1.8283,-44.8683,86.11,57,41,5.28
140,Mar Del Plata,AR,2022-07-06 14:49:02,-38.0023,-57.5575,41.02,100,100,9.22
141,Faya,SA,2022-07-06 14:48:01,18.3851,42.4509,82.51,25,82,10.58
142,Kushima,JP,2022-07-06 14:51:46,31.4583,131.2333,77.63,91,100,5.53
143,Havre-Saint-Pierre,CA,2022-07-06 14:51:46,50.2334,-63.5986,64.76,52,100,8.05
144,Coahuayana,MX,2022-07-06 14:51:46,18.7333,-103.6833,83.61,71,59,0.51
145,Hithadhoo,MV,2022-07-06 14:51:47,-0.6,73.0833,82.85,76,100,11.27
146,Bethel,US,2022-07-06 14:48:55,41.3712,-73.414,84.56,65,40,10.36
147,Waipawa,NZ,2022-07-06 14:51:47,-41.4122,175.5153,37.98,86,59,4.0
148,Port Alfred,ZA,2022-07-06 14:51:47,-33.5906,26.891,63.18,84,38,3.0
149,Mahibadhoo,MV,2022-07-06 14:51:47,3.7833,72.9667,82.74,77,99,10.02
