City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
150,Sur,OM,22.5667,59.5289,84.33,77,100,3.15,light rain
151,Eidsvoll,NO,60.3305,11.2616,68.56,42,0,11.5,clear sky
152,Pouebo,NC,-20.4,164.5667,74.52,89,30,8.52,scattered clouds
153,Dingli,MT,35.8614,14.3822,82.81,48,20,6.91,few clouds
154,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,80.4,78,40,1.14,scattered clouds
155,Belyy Yar,RU,53.6039,91.3903,69.69,52,0,4.47,clear sky
156,Buala,SB,-8.145,159.5921,79.2,80,91,7.67,overcast clouds
157,Aksu,CN,41.1231,80.2644,85.32,24,54,11.5,broken clouds
158,Salalah,OM,17.0151,54.0924,78.04,94,100,7.63,overcast clouds
159,Rantauprapat,ID,2.1,99.8333,77.14,80,96,2.64,overcast clouds
160,Mabaruma,GY,8.2,-59.7833,76.35,97,96,5.37,overcast clouds
161,Tahoua,NE,14.8888,5.2692,96.78,34,20,16.11,few clouds
162,Caraballeda,VE,10.6112,-66.8522,85.86,84,40,5.75,scattered clouds
163,Faanui,PF,-16.4833,-151.75,78.1,77,78,20.13,light rain
164,Phillipsburg,US,40.6937,-75.1902,79.92,55,100,4.0,overcast clouds
165,Fairbanks,US,64.8378,-147.7164,69.22,69,41,1.01,scattered clouds
166,Sungaipenuh,ID,-2.0833,101.3833,64.89,97,94,0.65,overcast clouds
167,Ribeira Grande,PT,38.5167,-28.7,73.8,60,40,19.57,scattered clouds
168,Solnechnyy,RU,50.7214,136.6319,67.82,94,43,5.06,scattered clouds
169,Saint-Georges,GD,12.0564,-61.7485,85.68,74,20,17.27,few clouds
170,Werda,BW,-25.2667,23.2833,69.22,25,0,10.42,clear sky
171,Alyangula,AU,-13.8483,136.4192,66.22,73,29,9.71,scattered clouds
172,Tuatapere,NZ,-46.1333,167.6833,34.54,84,15,3.56,few clouds
173,Fez,MA,34.0372,-4.9998,107.85,13,0,4.61,clear sky
174,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,72,11,10.2,few clouds
175,Rigaud,CA,45.4793,-74.3024,69.98,48,0,1.19,clear sky
176,Batticaloa,LK,7.7102,81.6924,84.74,61,100,16.58,overcast clouds
177,Kropotkin,RU,45.4375,40.5756,89.74,33,0,5.12,clear sky
178,Feijo,BR,-8.1642,-70.3536,88.43,48,7,2.19,clear sky
179,Abancay,PE,-13.6339,-72.8814,61.61,61,90,2.71,overcast clouds
180,Pochutla,MX,15.7432,-96.4661,86.83,59,1,2.08,clear sky
181,Dispur,IN,26.1425,91.7889,91.35,85,33,4.16,scattered clouds
182,Kysyl-Syr,RU,63.8986,122.7617,59.54,81,100,2.39,overcast clouds
183,Aklavik,CA,68.2191,-135.0107,57.2,94,100,11.5,haze
184,Saldanha,ZA,-33.0117,17.9442,57.25,88,70,18.63,light rain
185,Rodrigues Alves,BR,-7.738,-72.6509,79.0,61,23,2.39,few clouds
186,Portland,US,45.5234,-122.6762,66.42,81,3,5.01,clear sky
187,Xingyi,CN,24.1877,102.817,62.65,93,25,1.92,scattered clouds
188,Lagos,NG,6.5833,3.75,75.52,97,100,5.21,moderate rain
189,Egvekinot,RU,66.3167,-179.1667,40.46,99,100,8.14,light rain
190,Plouzane,FR,48.3833,-4.6167,80.65,52,0,14.97,clear sky
191,Togur,RU,58.3631,82.8265,69.78,72,91,5.23,overcast clouds
192,Saint-Pierre,RE,-21.3393,55.4781,69.91,68,20,19.57,few clouds
193,Shieli,KZ,44.1667,66.75,82.83,27,0,8.3,clear sky
194,Bambanglipuro,ID,-7.95,110.2833,75.15,85,12,9.86,few clouds
195,Ahipara,NZ,-35.1667,173.1667,57.47,93,51,7.67,broken clouds
196,Ulladulla,AU,-35.35,150.4667,49.1,88,100,9.8,light rain
197,Neyshabur,IR,36.2133,58.7958,85.3,14,20,9.22,few clouds
198,Baherden,TM,38.4362,57.4316,93.6,13,0,9.42,clear sky
199,Robinson,US,31.4677,-97.1147,93.38,51,20,10.36,few clouds
200,Sorland,NO,67.667,12.6934,57.06,80,19,3.33,few clouds
201,Dabat,ET,12.9842,37.765,55.4,85,100,3.76,light rain
202,Morondava,MG,-20.2833,44.2833,74.26,65,0,9.75,clear sky
203,Provideniya,RU,64.3833,-173.3,47.79,96,100,5.95,overcast clouds
204,Porto Novo,BJ,6.4965,2.6036,80.42,95,100,8.01,moderate rain
205,Chaihe,CN,44.7667,129.7,60.69,92,62,2.39,broken clouds
206,Batemans Bay,AU,-35.7167,150.1833,56.1,86,100,13.0,light rain
207,Grand Gaube,MU,-20.0064,57.6608,70.2,69,64,5.99,broken clouds
208,Zanzibar,TZ,-6.1639,39.1979,82.47,61,20,21.85,few clouds
209,College,US,64.8569,-147.8028,69.21,70,43,1.81,scattered clouds
210,Thompson,CA,55.7435,-97.8558,69.96,60,100,3.44,overcast clouds
211,Jiangkou,CN,25.4872,119.1986,80.28,89,99,8.05,overcast clouds
212,Maniitsoq,GL,65.4167,-52.9,42.55,88,100,8.55,overcast clouds
213,Esperance,AU,-33.8667,121.9,65.82,31,99,19.75,overcast clouds
214,Sinnar,SD,13.5691,33.5672,84.94,54,96,13.0,overcast clouds
215,Vila Do Maio,CV,15.1333,-23.2167,83.19,78,31,7.87,scattered clouds
216,Morant Bay,JM,17.8815,-76.4093,88.72,69,100,13.76,overcast clouds
217,Sanchazi,CN,42.0817,126.6003,63.36,95,87,2.51,overcast clouds
218,Nantucket,US,41.2835,-70.0995,75.0,84,10,17.18,clear sky
219,Klaksvik,FO,62.2266,-6.589,52.72,94,100,7.38,light rain
220,Antsohihy,MG,-14.8796,47.9875,75.92,40,0,15.7,clear sky
221,Clyde River,CA,70.4692,-68.5914,46.63,71,20,4.61,few clouds
222,Manoel Urbano,BR,-8.8389,-69.2597,89.56,42,4,2.57,clear sky
223,Uberlandia,BR,-18.9186,-48.2772,74.41,35,0,12.66,clear sky
224,Paamiut,GL,61.994,-49.6678,39.15,94,100,8.5,overcast clouds
225,Stornoway,GB,58.2093,-6.3865,63.03,74,40,10.36,scattered clouds
226,Black Forest,US,39.0131,-104.7008,80.37,34,0,3.44,clear sky
227,San Ramon,US,37.7799,-121.978,64.33,86,19,5.99,few clouds
228,Te Anau,NZ,-45.4167,167.7167,31.84,89,88,5.23,overcast clouds
229,Doba,TD,8.65,16.85,88.74,49,100,2.91,overcast clouds
230,Darhan,MN,49.4867,105.9228,61.97,65,99,2.19,overcast clouds
231,Abalak,RU,58.1286,68.5944,72.46,65,6,4.23,clear sky
232,Cayenne,GF,4.9333,-52.3333,80.1,1,75,2.3,broken clouds
233,Birchis,RO,45.9667,22.1667,73.99,46,99,5.26,light rain
234,Hasaki,JP,35.7333,140.8333,75.29,93,100,11.05,overcast clouds
235,Wakkanai,JP,45.4094,141.6739,65.61,92,98,11.14,overcast clouds
236,Sitka,US,57.0531,-135.33,57.61,87,100,2.57,overcast clouds
237,Grindavik,IS,63.8424,-22.4338,54.07,100,100,24.16,overcast clouds
238,Luyang,CN,27.6239,110.0989,79.7,81,27,4.41,scattered clouds
239,San Cristobal,VE,7.7669,-72.225,75.38,66,100,6.93,overcast clouds
240,Bakurianis Andeziti,GE,41.7337,43.4724,68.99,69,22,5.03,few clouds
241,Besancon,FR,47.2488,6.0182,81.79,26,48,7.02,scattered clouds
242,Qaanaaq,GL,77.484,-69.3632,41.13,81,100,1.5,overcast clouds
243,Knysna,ZA,-34.0363,23.0471,77.38,32,0,10.8,clear sky
244,Carutapera,BR,-1.195,-46.02,84.76,62,6,9.17,clear sky
245,San Patricio,US,28.017,-97.5169,89.49,58,10,7.05,clear sky
246,Zambezi,ZM,-13.5432,23.1047,80.46,20,6,6.62,clear sky
247,Iracoubo,GF,5.4802,-53.2011,82.81,74,99,9.8,light rain
248,Lima,PE,-12.0432,-77.0282,65.89,76,100,9.22,mist
249,Eyl,SO,7.9803,49.8164,84.45,51,100,27.98,overcast clouds
250,Kaseda,JP,31.4167,130.3167,76.87,86,0,4.9,clear sky
251,Port Blair,IN,11.6667,92.75,81.97,86,100,18.75,light rain
252,Isangel,VU,-19.55,169.2667,74.32,84,8,7.47,clear sky
